Name,Series,Wiki URL,Powers,Archetypes,Dominant Colors,Image URL
Setsuna Meiou / Sailor Pluto,Sailor Moon,https://sailormoon.fandom.com/wiki/Setsuna_Meiou_/_Sailor_Pluto_(manga),"Space-Time Key, Garnet Orb, Garnet Rod, Pluto Crystal","Intellectual, Mystic","rgb(204, 209, 223), rgb(68, 83, 108), rgb(140, 82, 112), rgb(147, 142, 93)",https://static.wikia.nocookie.net/sailormoon/images/d/d0/Setsuna_Meiou_-_Manga.png/revision/latest/scale-to-width-down/266?cb=20191025073915
Usagi Tsukino / Sailor Moon,Sailor Moon,https://sailormoon.fandom.com/wiki/Usagi_Tsukino_/_Sailor_Moon_(manga),"Tiara, Red Hair Pieces, Wing Hair Clips, Moon Stick, Moon Rod, Heart Moon Rod, Moon Kaleido Scope, Eternal Tiare",Heart,"rgb(213, 194, 175), rgb(72, 90, 137), rgb(216, 150, 49), rgb(199, 74, 115)",https://static.wikia.nocookie.net/sailormoon/images/5/54/Sailor_Moon_Usagi_Tsukino_-_Manga.png/revision/latest/scale-to-width-down/267?cb=20210217013156
Makoto Kino / Sailor Jupiter,Sailor Moon,https://sailormoon.fandom.com/wiki/Makoto_Kino_/_Sailor_Jupiter_(manga),"Tiara, Thunder and Lightning Antenna, Rose Earrings, Rose Belt, Leaves of Oak","Rebel, Warrior","rgb(201, 195, 201), rgb(61, 68, 72), rgb(124, 77, 78), rgb(152, 95, 89)",https://static.wikia.nocookie.net/sailormoon/images/e/e2/Makoto_Kino_-_Manga.png/revision/latest/scale-to-width-down/267?cb=20191008053422
Ami Mizuno / Sailor Mercury,Sailor Moon,https://sailormoon.fandom.com/wiki/Ami_Mizuno_/_Sailor_Mercury_(manga),Mercury Harp,"Caregiver, Intellectual, Mystic","rgb(71, 87, 169), rgb(218, 213, 224), rgb(217, 89, 161), rgb(104, 72, 72)",https://static.wikia.nocookie.net/sailormoon/images/2/23/Ami_Mizuno_-_Manga.png/revision/latest/scale-to-width-down/170?cb=20190903031224
Haruka Tenou / Sailor Uranus,Sailor Moon,https://sailormoon.fandom.com/wiki/Haruka_Tenou_/_Sailor_Uranus_(manga),"World Shaking, Space Sword Blaster, Space Turbulence, Galactica Space Turbulence, Sailor Planet Power Meditation, Galactica Planet Attack","Warrior, Caregiver, Rebel","rgb(221, 182, 177), rgb(52, 58, 21), rgb(185, 49, 41), rgb(171, 102, 60)",https://static.wikia.nocookie.net/sailormoon/images/2/2b/Haruka_Tenou_-_Manga.png/revision/latest/scale-to-width-down/267?cb=20191010033212
Hotaru Tomoe / Sailor Saturn,Sailor Moon,https://sailormoon.fandom.com/wiki/Hotaru_Tomoe_/_Sailor_Saturn_(manga),"Silence Glaive, Saturn Crystal, Death Reborn Revolution, Silence Wall, Silence Glaive Surprise, Galactica Glaive Surprise, Galactica Cannon, Galactica Planet Attack","Mystic, Intellectual, Heart","rgb(68, 70, 72), rgb(210, 82, 103), rgb(142, 175, 176), rgb(114, 132, 176)",https://static.wikia.nocookie.net/sailormoon/images/5/56/Hotaru_Tomoe_-_Manga.png/revision/latest/scale-to-width-down/268?cb=20191026225218
Rei Hino / Sailor Mars,Sailor Moon,https://sailormoon.fandom.com/wiki/Rei_Hino_/_Sailor_Mars_(manga),"Akuryo Taisan, Phobos Deimos, Burning Mandala, Mars Snake Fire, Mars Flame Sniper, Sailor Planet Attack, Sailor Planet Power Meditation, Galactica Gale, Galactica Planet Attack, Ofuda, Mars Arrow","Rebel, Caregiver, Warrior","rgb(57, 38, 46), rgb(231, 215, 226), rgb(170, 158, 169), rgb(153, 135, 152)",https://static.wikia.nocookie.net/sailormoon/images/7/72/Rei_Hino_-_Manga.png/revision/latest/scale-to-width-down/267?cb=20190904041339
Minako Aino / Sailor Venus,Sailor Moon,https://sailormoon.fandom.com/wiki/Minako_Aino_/_Sailor_Venus_(manga),"Venus Love-Me Chain, Rolling Heart Vibration, Venus Wink Chain Sword, Venus Love and Beauty Shock, Venus Love and Galactica Shock, Akuryo Taisan, Sailor Planet Attack, Sailor Planet Power Meditation, Galactica Gale, Galactica Planet Attack, Crescent Beam, Crescent Super Beam, Crescent Slender Beam, Venus Power, Love Crescent Shower, Venus Love, Megaton Shower, Crescent Boomerang, Sailor V Kick, Double Sailor Kick, Sailor V Chop, Venus Iron Muscle Punch, Rolling Screw Sailor V Punch, Venus Sulphur Smoke, Venus Brand: Mosquito Incense Typhoon, Venus Ten Billion Volt Rock N' Rouge, Compact, Venus Mike, Chain, Sword of the Silver Crystal, Whip of Love","Warrior, Caregiver, Leader, Heart","rgb(234, 187, 155), rgb(32, 69, 143), rgb(55, 50, 49), rgb(129, 180, 231)",https://static.wikia.nocookie.net/sailormoon/images/8/84/Minako_Aino_-_Manga.png/revision/latest/scale-to-width-down/267?cb=20191009045027
Michiru Kaiou / Sailor Neptune,Sailor Moon,https://sailormoon.fandom.com/wiki/Michiru_Kaiou_/_Sailor_Neptune_(manga),"Deep Submerge, Submarine Reflection, Submarine Violon Tide, Galactica Violon Tide, Sailor Planet Power Meditation, Galactica Planet Attack","Caregiver, Warrior, Intellectual, Heart","rgb(110, 73, 55), rgb(175, 198, 189), rgb(220, 51, 70), rgb(197, 145, 183)",https://static.wikia.nocookie.net/sailormoon/images/6/6a/Michiru_Kaiou_-_Manga.png/revision/latest/scale-to-width-down/268?cb=20210326074305
Musa,Winx Club,https://winx.fandom.com/wiki/Musa,"Fairies' Magic, Sound/Music Manipulation and Generation, Sound Amplification","Artist, Mystic, Rebel, Heart","rgb(80, 86, 122), rgb(236, 147, 192), rgb(157, 205, 221), rgb(115, 105, 219)",https://static.wikia.nocookie.net/winx/images/d/de/Musa_S8E7.png/revision/latest/scale-to-width-down/268?cb=20200419122930
